antipater_n	m
antiphanes_n	m
antipodes	m
antipolis_n	f
antiquaria	f
antiquarius_1	m
antiqui	m
antiquitas	f
antiquum	n
antistes	2
antisthenes_n	m
antistia_n	???
antistita	f
antistius_n	*
antitheton	n
antium_n	n
antius_n	*
antoniaster_n	m
antonia_n	???
antoninus_n	*
antonius_n	*
antrum	n
anubis_n	m
anulus	m
anus_1	f
anus_2	f
anxietas	f
anxur_n	*
anytus_n	m
aonides_n	2
aorsi_n	*
apamea_n	f
apameni_n	*
apamenses_n	3
apella_n	m
apelles_n	m
apenninicola_n	2
apenninus_n	*
aper	m
apertum	n
aper_n	m
apex	m
apheliotes_n	m
aphidnae_n	???
aphidna_n	f
aphidnus_n	4
aphobetus_n	m
aphrodisienses_n	???
apicata_n	2
apicius_n	*
apicula	f
apidanus_n	m
apidius_n	4
apinius_n	4
apion_n	???
apis	m
apis_n	m
apium	n
aplustre	n
aplustre	n
apodyterium	???
apoecides_n	m
apollinaris_n	2
apollodorus_n	m
apolloniatae_n	m
apolloniates_n	2
apollonia_n	f
apollonidenses_n	2
apollonides_n	m
apollonis_n	f
apollonius_n	*
apollo_n	m
aponiana_n	f
aponianus_n	m
aponius_n	*
apophoreta_1	n
apophoreta_2	n
apotheca	m
apparatus_1	m
apparitio	f
apparitor	m
appellatio	f
appellator	m
appendicula	f
appendix	f
appenninus_n	???
appetitio	f
appetitus	m
appianus_n	*
appias_n	f
appia_n	f
appius_n	*
applicatio	f
approbatio	f
appropinquatio	f
appuleia_n	???
appuleius_n	*
appulsus	m
appus_n	4
apricatio	f
apricum	n
aprilis_n	2
apronianus_n	*
apronia_n	f
apronius_n	*
apsus_n	m
apula_n	2
apuleius_n	*
apulia_n	f
apyrenum	n
aqua	f
aqualiculus	m
aqualis_1	
aquarium	n
aquarius_1	m
aquarius_n	m
aquatio	f
aquator	m
aquiculus_n	4
aquila	2
aquila_n	2
aquileia_n	f
aquilex	m
aquilia_n	???
aquilifer	m
aquilius_n	*
aquilo	m
aquilo_n	m
aquinates_n	3
aquinius_n	*
aquinum_n	n
aquinus_n	*
aquitania_n	f
aquitani_n	*
aquitanus_n	*
aquula	f
ara	f
arabes_n	m
arabia_n	f
arabs_n	*
arabus_n	*
arachosii_n	*
aracinthus_n	m
aradus_n	m
aranea	f
araneus_1	*
araricus_n	*
araris_n	m
arar_n	m
aratio	f
arator	m
aratrum	n
aratus_n	m
arauisci_n	*
araxes_n	m
ara_n	f
arbela_n	n
arbiter	m
arbitra	f
arbitratus	m
arbitrium	n
arbor	f
arbuscula	f
arbuscula_n	f
arbustum	n
arbutum	n
arbutus	f
arca	f
arcades_n	m
arcadia_n	f
arcanum	n
arcas_n	m
arcens_n	???
arcesilaus_n	m
arcessitor	m
arcetius_n	4
archagathus_n	m
archelaus_n	m
archemorus_n	m
archestrata_n	2
archetypus	*
archias_n	m
archibulus_n	4
archidamus_n	m
archidemus_n	m
archigenes_n	m
archilochus_n	m
archimagirus	m
archimedes_n	m
archipirata	m
archippus_n	m
architectura	f
architectus	m
archytas_n	m
arcisellium	n
arctophylax_n	m
arcturus_n	m
arctus_n	f
arcula	f
arcularius	m
arcus	m
arcus_n	m
arda_n	m
ardea	f
ardeatinum_n	neutre
ardea_n	f
ardor	m
arduenna_n	f
arduum	n
area	f
arecomici_n	*
arelas_n	f
arelate_n	n
arellius_n	m
arena	f
arenacum_n	n
arenaria	f
areola	f
areopagites_n	m
areopagus_n	m
aretalogus	m
arethusa_n	f
areus_n	*
arganthonius_n	m
arganthus_n	m
argei_n	*
argentaria	f
argentarius_1	*
argenteus_1	m
argentifodina	???
argentum	n
argiletum_n	n
argilla	f
arginusae_n	f
argitis_n	f
argiui_n	???
argius_n	*
argi_n	m
argolici_n	masculin
argolicus_n	*
argonautae_n	2
arguetius_n	m
argumentatio	f
argumentum	n
argus_n	m
argutatio	f
argutia	f
argynnus_n	m
argyraspides_n	m
argyripa_n	f
argyrippus_n	???
ariadna_n	f
ariarathes_n	m
aricia_n	f
aricini_n	???
aridum	n
aries	m
aries_n	m
arietillus	*
arii_n	*
arimaspi_n	*
arimazes_n	3
arimazes_n	3
ariminenses_n	2
ariminum_n	n
ariobarzanes_n	m
ariouistus_n	m
arisba_n	f
arista	f
aristaeus_n	m
aristander_n	m
aristarchus_n	m
aristeus_n	???
aristides_n	m
aristides_n	m
aristippus_n	m
aristius_n	masculin
aristobulus_n	m
aristodamus_n	4
aristogiton_n	???
aristonicus_n	*
aristonus_n	m
ariston_n	???
aristophanes_n	m
aristoteles_n	m
aristo_n	m
aristus_n	*
aris_n	f
arma	n
armamaxa	f
armamenta	n
armamentarium	n
armamentum	n
armarium	n
armati	m
armatura	f
armatus_1	m
armenia_n	f
armenii_n	???
armenius_n	*
armentarius_1	*
armentum	n
armiger_1	m
armilla	f
armillatus_n	m
arminius_n	*
armipotens_n	m
armus	m
arnus_n	m
arpinas_n	f
arpinates_n	3
arpinius_n	neutre
arpinum_n	n
arpi_n	m
arpus_n	???
arquitius_n	4
arrecinus_n	4
arretini_n	*
arretium_n	n
arrhidaeus_n	m
arrianus_n	*
arria_n	f
arrionilla_n	???
arrisor	m
arrius_n	*
arrogantia	f
arrosor	m
arruns_n	m
arruntius_n	???
ars	f
arsaces_n	m
arsacidae_n	m
arsacides_n	m
arsames_n	3
arsamosata_n	???
arsanias_n	m
arsineum	n
ars_n	f
artabanus_n	m
artabazus_n	m
artacana_n	f
artaxata_n	n
artaxata_n	n
artaxias_n	m
artemidorus_n	*
artemisius_n	*
artemita_n	f
artemona_n	2
artemon_n	m
arteria	f
articulus	m
artifex	m
artificium	n
artopta	f
artoria_n	2
artorius_n	*
artum	n
artus_1	m
aruae_n	f
aruerni_n	m
aruina	f
aruiragus_n	???
arula	f
arulenus_n	*
arundinetum	n
arundo	f
aruseius_n	4
aruum	n
arx	f
arx_n	f
as	
ascanius_n	*
ascensus	m
ascia	f
asciburgium_n	n
ascla_n	f
asclepiades_n	m
asclepiodorus_n	*
asclepiodotus_n	???
asconius_n	*
ascra_n	f
ascriptio	f
ascriptor	m
asculani_n	???
asculum_n	n
ascurum_n	???
ascyltus_n	4
asella	f
asellius_n	*
asellus	m
asellus_n	m
asiaticus_n	*
asia_n	f
asicius_n	4
asilus	m
asinaria_n	f
asinarius_1	*
asina_n	m
asinius_n	*
asinus	m
asis_n	f
asius_n	*
asopis_n	f
asopus_n	m
asparagium_n	n
asparagus	m
aspar_n	m
aspauia_n	???
aspectus	m
aspendus_n	f
aspera	2
aspergo_1	f
asperitas	f
aspernatio	f
asperum	neutre
asper_n	m
aspis	m
asportatio	f
asprenas_n	???
asprenates_n	???
assacanus_n	???
assaracus_n	m
assecla	???
assectatio	f
assectator	m
assensio	f
assensor	m
assensus	m
assentatio	f
assentator	m
asser	m
asserculum	???
assertio	f
assertor	m
assessor	m
assessus	m
asseueratio	f
assiduitas	f
assignatio	f
assimulatio	f
assorini_n	*
assorum_n	n
assuetudo	f
assula	f
assultus	m
assum_2	n
assyria_n	f
assyrii_n	*
astacides_n	m
astipulator	m
astraea_n	f
astraeus_n	*
astrologia	f
astrologus	*
astronomia	f
astrum	n
asturicus_n	*
astus	m
astutia	f
astyanax_n	m
astypalaea_n	f
asudius_n	4
asuuius_n	???
asylum	n
asylus_n	m
atabulus_n	m
atalanta_n	f
ataui	m
atauus	m
atax_n	m
ategua_n	f
ateius_n	???
atellana_n	???
atella_n	f
ateste_n	n
athamanes_n	m
athamania_n	f
athamas_n	m
athenae_n	f
athena_n	f
athenienses_n	???
athenodorus_n	*
athesis_n	m
athleta	m
athos_n	m
atia_n	f
atidius_n	4
atii_n	masculin
atilius_n	*
atimetus_n	m
atinates_n	m
atina_n	f
atinius_n	*
atius_n	*
atlantides_n	f
atlantis_n	f
atlas_n	m
atomus	m
atracis_n	f
atramentum	n
atratinus_n	*
atrebates_n	m
atreus_n	*
atria_n	f
atrides_n	m
atriensis_1	m
atrium	n
atrium_n	n
atrius_n	*
atrocitas	f
attactus	m
attagen	m
attalenses_n	???
attalus_n	m
atta_n	m
attegia	f
atthis_n	f
attianus_n	masculin
attia_n	2
attica_n	f
atticinus_n	4
attici_n	3
atticus_n	*
attis_n	2
attius_n	*
attritus_1	m
attus_n	*
atys_n	f
auara	2
auaricum_n	n
auaritia	f
auaritia_n	f
auarities	f
auarus_1	*
auceps	m
auctio	f
auctor	m
auctoramentum	n
auctorati	masculin
auctoritas	f
auctus_1	*
aucupium	n
audacia	f
audentia	f
audientia	f
auditio	f
auditor	m
auditorium	n
auditum	n
auditus	m
auellana	???
auena	f
auenticum_n	n
auentinus_n	*
auerna_n	???
auerni_n	???
auernus_n	*
auersatio	f
auersio	f
auersor_1	
auersum	???
aufidienus_n	???
aufidius_n	*
aufidus_n	*
aufilena_n	f
aufilenus_n	*
augaeus_n	m
augeas_n	m
